,Sentiment,User_flr,Text
2020-07-09 10:20:47,1,3581,"$DIS trying to replace #boxoffice ?
Disney+ Hotstar Multiplex to premiere 7 Bollywood movies from July 24 https://t.co/bXKGFVs614"
2020-07-09 10:30:42,1,42,$DIS bailed out.  Better action out there than this.
2020-07-09 10:33:45,1,625,"@ElBoricua2384 Ya, no $uvxy yet... #fed fucked that up atm, I lost some $ on $dis puts this week...will see where this goes but the weekly up cycle has just completed itself so time tells $spy $spx $es_f #sp500"
2020-07-09 10:40:48,-1,176,"RT @ActorsEquity: There have been 114,769 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 10:40:52,-1,316,"RT @ActorsEquity: There have been 114,769 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 10:42:17,-1,377,"RT @ActorsEquity: There have been 114,769 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 10:44:11,-1,1954,"RT @ActorsEquity: There have been 114,769 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 10:46:28,-1,89,entering $DIS short
2020-07-09 10:50:38,-1,30,"$DIS bottoms about to fall out, watch out below"
2020-07-09 10:51:43,-1,155,"RT @ActorsEquity: There have been 114,769 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 10:55:58,-1,1516,"RT @ActorsEquity: There have been 114,769 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 11:01:52,-1,1787,"RT @ActorsEquity: There have been 114,769 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 11:04:47,1,344,RT @ActionableAler1: Q BioMed (QBIO) rising for 2nd day after our trade alert. CEO interview has shares up on red market day. $GE $AMD $INO…
2020-07-09 11:07:51,-1,2998,"RT @ActorsEquity: There have been 114,769 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 11:08:17,1,6320,RT @ActionableAler1: Q BioMed (QBIO) rising for 2nd day after our trade alert. CEO interview has shares up on red market day. $GE $AMD $INO…
2020-07-09 11:10:39,-1,1629,"RT @ActorsEquity: There have been 114,769 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 11:24:35,1,89,"$DIS callout paid 25% but TD ameritrade doesn’t let you see percentage of play after it’s over, which they should change. But if you look at time of my tweet and price of stock you will see for yourself that it hit perfectly."
2020-07-09 11:32:24,1,17,"Hamilton boosts $DIS Plus app downloads by 72% in the United States
.
According to Apptopia, Disney+ app downloads jumped 47% globally and 72% in the United States
.
.
.
#stocks #stockmarket #stockpicks #investment… https://t.co/byRAwcuEeY"
2020-07-09 11:40:29,1,8595,"$DIS holding up well - cuz @GovRonDeSantis is a grown up - and he’s not rolling back the clock 

The US is surging forward - like the rest of the World - while soc media keeps #Fauci #C19 fear alive"
2020-07-09 11:41:42,1,37,"RT @HedgehogOptions: $DIS holding up well - cuz @GovRonDeSantis is a grown up - and he’s not rolling back the clock 

The US is surging for…"
2020-07-09 12:02:52,-1,2203,"RT @ActorsEquity: There have been 114,769 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 12:03:07,1,3523,"RT @MinteractApp: Today Top Flow in #StockMarket, Buy Flow and Sell Flow $IWF $SPY $JD $AMD $QQQ $COST $SQ $SLV $MINT $LQD $BABA $AAPL $MSF…"
2020-07-09 12:03:56,1,572,$BA $DIS still strong
2020-07-09 12:04:48,1,8595,$DIS flashed green here https://t.co/Bkt2C7Hvlq
2020-07-09 12:04:49,1,344,RT @tyiwealth: Young Investors: I took an opportunity to balance my portfolio this morning and added small positions in the following 3 sto…
2020-07-09 12:21:20,-1,425,Here is my long #BLM trade thesis.  Hollywood is likely going to get cancelled next.  What happens to $NFLX $DIS if they're forced to drop content due to social pressures? https://t.co/5iRJMZQfqZ
2020-07-09 12:26:27,1,3581,"$DIS he global numbers are 47% higher than the average weekend in June, while the domestic results were 72% greater.

Read more at: https://t.co/2DFRzND4EQ
Copyright © BloombergQuint"
2020-07-09 12:26:52,-1,325,"RT @ActorsEquity: There have been 104,780 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 12:33:14,1,344,"RT @freetrades4u: Roll up the rim to win!
$ROKU 160C already hit 5.50 from 2.66 (2X or 100% so far) 👊🤑

Email: optionsmaster@hotmail.com to…"
2020-07-09 12:35:24,1,344,"RT @c2412345: Buy $APT (Face Mask Stock) 😷 as $SBUX Starbucks mandates face masks!

$SPY $QQQ $IWM $VIX $VXX $TSLA $SPCE $AAPL $MSFT $AMZN…"
2020-07-09 12:39:56,1,3581,"$DIS Disney+ adds to second quarter surge for mobile app usage

Read more: Disney+ adds to second quarter surge for mobile app usage | Mobile | News | Rapid TV News https://t.co/nTGMxbZJzz
Follow us: @rapidtvnews on Twitter"
2020-07-09 12:44:11,1,3581,fools are buying $NFLX with no new content $DIS is winner https://t.co/SkF8if9Ile
2020-07-09 12:45:31,1,2395,"RT @TheMacroStrat: MACRO BRIEFS: The Great Vacation, Maybe -  https://t.co/HM5mKbCxQl

Not a subscriber? No problem, it's only $10/mo. - ht…"
2020-07-09 12:48:19,1,295,$DIS i believe the stock going breakout higher very soon https://t.co/0r08VAUigA
2020-07-09 12:51:39,-1,4076,"Disney is facing increased scrutiny as it readies for reopening #DisneyWorld this Saturday. 

$DIS has expressed confidence in its safety measures in the face of a massive increase in coronavirus cases in Florida. But postponing really isn't an option.

https://t.co/eWrpxkd5b5"
2020-07-09 12:54:58,1,117,"RT @RudyHavenstein: ""The Mirror organised a Disney day out for the kids at Lord and Lady Bath's Longleat House, in Wiltshire. A great fun d…"
2020-07-09 12:55:09,1,329,"RT @RudyHavenstein: ""The Mirror organised a Disney day out for the kids at Lord and Lady Bath's Longleat House, in Wiltshire. A great fun d…"
2020-07-09 13:02:18,-1,10861,RT @LaurieInMadison: Inside Outside. Charts. Out And About. No Football? All Hail. Don't miss today's Market Recon. By Stephen Guilfoyle. @…
2020-07-09 13:11:19,-1,16,If the market is selling off on COVID and reopening fear why is $DIS down only 30 cents?
2020-07-09 13:18:01,1,43,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 13:33:41,1,428,"RT @RudyHavenstein: ""The Mirror organised a Disney day out for the kids at Lord and Lady Bath's Longleat House, in Wiltshire. A great fun d…"
2020-07-09 13:34:04,1,343,$AMZN $NFLX $DIS - Amazon and Netflix pitched on buying a theater chain https://t.co/aDw1CrpgrI
2020-07-09 13:34:15,1,344,"RT @LiLi63762499: Discord https://t.co/0aq3TC4OCQ
The best trading chat room 
$BIDU $SAVE $WORK $T $AAPL $C $MSFT 
$XLF $SPY $FB $CHWY $PTO…"
2020-07-09 13:35:03,1,344,"RT @PrajaySarkar: Discord https://t.co/WXlqA5oYoo
The best trading chat room 
$BIDU $SAVE $WORK $T $AAPL $C $MSFT 
$XLF $SPY $FB $CHWY $PTO…"
2020-07-09 13:43:25,-1,447,Out up 3% calls on $dis here Looking weak AF under 116.38 line
2020-07-09 13:43:42,1,141,"RT @RudyHavenstein: ""The Mirror organised a Disney day out for the kids at Lord and Lady Bath's Longleat House, in Wiltshire. A great fun d…"
2020-07-09 13:50:51,1,3,"$DIS doesn’t bounce back for a while, even with the NBA pump at the end of the month. Requires the airline industry to be intact. Once guidelines are established and the means of travel are back, expect ATH."
2020-07-09 13:51:46,1,444,"RT @RudyHavenstein: ""The Mirror organised a Disney day out for the kids at Lord and Lady Bath's Longleat House, in Wiltshire. A great fun d…"
2020-07-09 14:02:45,-1,697,"Hot spot Florida,  How could $DIS even think about opening Saturday?  Especially w/ Fauci calling for a shut down.  @MelissaLeeCNBC   Love having Mellisa at 2pm"
2020-07-09 14:03:33,1,344,"RT @PrajaySarkar: Discord https://t.co/WXlqA5oYoo
The best trading chat room 
$BIDU $SAVE $WORK $T $AAPL $C $MSFT 
$XLF $SPY $FB $CHWY $PTO…"
2020-07-09 14:06:46,1,36,"RT @RudyHavenstein: ""The Mirror organised a Disney day out for the kids at Lord and Lady Bath's Longleat House, in Wiltshire. A great fun d…"
2020-07-09 14:10:53,1,7,$dis strong buy
2020-07-09 14:19:41,1,12985,Long lines at $DIS Cali for reopen: bullish yup
2020-07-09 14:26:22,1,2691,"$MSFT I would like to see it close over Tuesday's high to possibly make another move higher tomorrow
$DIS finding support at 116 which is a good sign. Needs to break through 118 to see 120, 122.
$AMD if it gets through 57 it has room into 57.50, 58, and 59."
2020-07-09 14:34:58,-1,1080,"The union that represents 750 performers at $DIS World has filed a grievance against the Orlando, Florida-based theme park alleging retaliation against its members over the union's demand that performers be tested for the coron... https://t.co/O4VweHVEzj"
2020-07-09 14:51:13,1,7,$dis buy
2020-07-09 14:53:58,1,180,@The_Real_Fly And Kaepernick was wearing a mask on a knee with a Mickey Mouse hat on! $dis  buy buy buy
2020-07-09 15:03:09,1,13665,"When live theater is back, streaming rights for Broadway musicals, and possibly plays will be the new big thing (not unlike rights to a movie). $DIS obviously best positioned with existing theatrical content and distribution. #HamiltonFilm changed the game."
2020-07-09 15:08:45,1,228,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 15:15:09,-1,16,$DIS - Correction to Disney World Article on July 8 https://t.co/rresuk3pIY
2020-07-09 15:21:41,1,567,"$dis survived the dip. Buying tail, survived the midday spike yesterday . 120 and then 125 possible , if mkt cooperates

#dontfightthefed

$trade $option  $stocks $NQ $YM $DOW $CL $NG $AAPL $SPX $ES $iwm $rty $SPY $gld $gc $ZB $TLT https://t.co/oYYtD0X095"
2020-07-09 15:24:08,1,3581,"$NFLX $AMZN $DIS 
What counts as a streaming hit on Netflix, Amazon Prime? A startup may have answers
Parrot Analytics says it has come up with a metric that can measure what a program means to a streamer.

Read more at:
https://t.co/3sW0QzUkFx"
2020-07-09 15:24:53,1,239,"RT @RudyHavenstein: ""The Mirror organised a Disney day out for the kids at Lord and Lady Bath's Longleat House, in Wiltshire. A great fun d…"
2020-07-09 15:59:35,1,140123,$DIS - Disney: Perhaps The Best Moment To Buy Has Not Yet Come. https://t.co/ObAiuMwC1L #markets #stocks #economy
2020-07-09 16:04:34,1,116,"Today's $DIS doji is inconclusive. Markets red, and $DIS is barely green - but it's still up on a down day... Tomorrow should be telling. I'm predicting a retail risk-on mode at the weekly close, but won't hold anything over the weekend."
2020-07-09 16:09:28,1,1036,RT @SeekingAlpha: $DIS - Disney: Perhaps The Best Moment To Buy Has Not Yet Come. https://t.co/ObAiuMwC1L #markets #stocks #economy
2020-07-09 16:18:27,1,72,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 16:29:12,-1,741,"RT @ActorsEquity: There have been 114,769 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 16:38:09,1,1703,"RT @RudyHavenstein: ""The Mirror organised a Disney day out for the kids at Lord and Lady Bath's Longleat House, in Wiltshire. A great fun d…"
2020-07-09 16:45:59,1,56,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 16:48:08,1,48,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 16:49:15,1,344,RT @VinayDe05841535: $jpm and $dis buy selling all tech and buying these do and banks and cyclicals. $nvda $msft $amd $aapl $amzn no room t…
2020-07-09 16:51:41,-1,143,"RT @ActorsEquity: There have been 114,769 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 17:13:48,-1,75,As most of you know $DIS won’t be Paying out dividends this month. this dividend cut doesn’t worry me because it saves them 1.6 billion dollars putting them in a better financial position. I think they have massive growth ahead as they are constantly growing there brand.
2020-07-09 17:17:23,1,227,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 17:46:00,1,80,"RT @DcrCharts: Interesting morning to say the least.  We were able to sell $SOGO calls, $CPAH (had wrong earnings date), $HOWVW, some $ROKU…"
2020-07-09 17:48:29,1,344,"RT @SergDJB: Coño... What the heck did I miss? Big run up with me stuck in meetings no cellphones $ROKU $AMD $SPCE
https://t.co/qodH7IlN46…"
2020-07-09 17:59:54,1,66,"RT @TheMacroStrat: MACRO BRIEFS: The Great Vacation, Maybe -  https://t.co/HM5mKbCxQl

Not a subscriber? No problem, it's only $10/mo. - ht…"
2020-07-09 18:04:33,1,6320,"RT @DcrCharts: Interesting morning to say the least.  We were able to sell $SOGO calls, $CPAH (had wrong earnings date), $HOWVW, some $ROKU…"
2020-07-09 18:05:54,1,7,$jpm and $dis is the way to go for tomorrow big jump and run I know it.
2020-07-09 18:11:25,1,101,"$DIS Disney World re-opening this weekend despite Florida COVID cases through the roof still. Huge part of the business so hope their safety measures work, wouldn’t be surprised to see them have to re-close. I hold https://t.co/3hVjb2KG7X"
2020-07-09 18:12:27,1,58,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 18:40:22,1,6320,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
2020-07-09 18:44:18,-1,908,"@Mikinzi @OpenMothersMale My apologies to Mr. Walt Disney. Not only has Robert Iger allowed your namesake to be synonymous with blackface, but now Disney is looking like the new character warehouse @Walmart $Dis bankruptcy fire sale."
2020-07-09 18:52:09,1,82,"RT @kghufran: Buy and Hold!

Future of health: $lvgo, $isrg, $nvta, $crsp
E-commerce: $se, $wix, $meli
Cybersecurity: $crwd,
5g: $insg
Digi…"
